Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,3.170000,3.242000,3.165000,3.170000,1.789545,11266000
2013-01-03,3.179000,3.206000,3.102000,3.138000,1.801440,12134000
2013-01-04,3.115000,3.130000,3.041000,3.100000,1.779625,11110000
2013-01-07,3.072000,3.094000,2.913000,2.987000,1.714755,7711000
2013-01-08,2.986000,2.986000,2.880000,2.898000,1.663663,6591000
2013-01-09,2.909000,3.000000,2.880000,2.980000,1.710737,6781000
2013-01-10,2.979000,3.057000,2.951000,3.040000,1.745181,9208000
2013-01-11,3.030000,3.098000,2.972000,3.070000,1.762403,3251000
2013-01-14,3.100000,3.112000,3.050000,3.072000,1.763551,2059000
2013-01-15,3.100000,3.123000,3.050000,3.104000,1.781922,3175000
2013-01-16,3.115000,3.170000,3.087000,3.170000,1.819810,4532000
2013-01-17,3.174000,3.185000,3.130000,3.164000,1.816365,4163000
2013-01-18,3.189000,3.194000,3.152000,3.185000,1.828422,1944000
2013-01-21,3.163000,3.193000,3.160000,3.183000,1.827274,601000
2013-01-22,3.194000,3.240000,3.185000,3.183000,1.827274,3891000
2013-01-23,3.240000,3.256000,3.180000,3.253000,1.867458,4362000
2013-01-24,3.230000,3.322000,3.223000,3.322000,1.907069,6848000
2013-01-28,3.251000,3.280000,3.191000,3.225000,1.851384,12186000
2013-01-29,3.224000,3.247000,3.158000,3.210000,1.842773,5861000
2013-01-30,3.161000,3.219000,3.161000,3.184000,1.827847,4019000
2013-01-31,3.159000,3.260000,3.140000,3.260000,1.871477,7500000
2013-02-01,3.254000,3.329000,3.223000,3.319000,1.905347,4081000
2013-02-04,3.269000,3.324000,3.230000,3.248000,1.864588,3002000
2013-02-05,3.262000,3.262000,3.207000,3.235000,1.857125,5445000
2013-02-06,3.221000,3.229000,3.145000,3.195000,1.834162,2514000
2013-02-07,3.182000,3.182000,3.116000,3.130000,1.796847,5724000
2013-02-08,3.116000,3.136000,3.056000,3.064000,1.758958,3777000
2013-02-13,3.084000,3.116000,3.076000,3.085000,1.771014,3505000
2013-02-14,3.077000,3.102000,3.054000,3.070000,1.762403,2088000
2013-02-15,3.071000,3.100000,3.040000,3.059000,1.756088,3621000
2013-02-18,3.056000,3.077000,3.000000,3.000000,1.722218,2105000
2013-02-19,2.969000,3.066000,2.968000,3.000000,1.722218,4349000
2013-02-20,3.050000,3.051000,2.941000,2.973000,1.706718,5349000
2013-02-21,2.973000,2.995000,2.905000,2.942000,1.688922,9244000
2013-02-22,2.895000,2.961000,2.895000,2.930000,1.682033,7649000
2013-02-25,2.943000,2.990000,2.919000,2.980000,1.710737,3956000
2013-02-26,2.935000,3.025000,2.935000,2.997000,1.720496,5724000
2013-02-27,3.001000,3.005000,2.890000,2.948000,1.692366,4749000
2013-02-28,2.900000,2.985000,2.889000,2.900000,1.664811,5996000
2013-03-01,2.851000,2.953000,2.832000,2.938000,1.686625,3483000
2013-03-04,2.893000,2.965000,2.870000,2.937000,1.686051,4941000
2013-03-05,2.984000,2.993000,2.900000,2.902000,1.665959,4196000
2013-03-06,2.947000,2.990000,2.901000,2.990000,1.716478,3840000
2013-03-07,2.994000,3.101000,2.994000,3.092000,1.775033,16152000
2013-03-08,3.080000,3.129000,3.015000,3.039000,1.744607,4380000
2013-03-11,3.066000,3.074000,3.026000,3.047000,1.749200,4350000
2013-03-12,3.046000,3.092000,3.023000,3.044000,1.747477,4302000
2013-03-13,3.044000,3.074000,2.994000,3.023000,1.735422,2386000
2013-03-14,3.027000,3.075000,3.004000,3.021000,1.734273,4168000
2013-03-15,3.034000,3.041000,2.970000,2.998000,1.721070,5815000
2013-03-18,2.952000,3.035000,2.901000,2.961000,1.699829,3475000
2013-03-19,2.952000,3.069000,2.901000,2.941000,1.688348,3507000
2013-03-20,2.900000,2.900000,2.820000,2.851000,1.636681,5145000
2013-03-21,2.865000,2.879000,2.792000,2.818000,1.617737,3235000
2013-03-22,2.827000,2.904000,2.812000,2.812000,1.614292,4097000
2013-03-25,2.847000,2.850000,2.794000,2.794000,1.603959,2057000
2013-03-26,2.793000,3.001000,2.768000,2.955000,1.696385,9997000
2013-03-27,2.912000,3.088000,2.912000,3.040000,1.745181,8006000
2013-03-28,3.040000,3.040000,3.040000,3.040000,1.745181,0
2013-04-01,3.093000,3.185000,3.073000,3.133000,1.798569,4010000
2013-04-02,3.093000,3.190000,3.073000,3.117000,1.789384,4911000
2013-04-03,3.122000,3.218000,3.100000,3.194000,1.833588,5929000
2013-04-04,3.194000,3.198000,3.145000,3.159000,1.813496,5409000
2013-04-05,3.167000,3.439000,3.166000,3.430000,1.969069,22657000
2013-04-08,3.402000,3.407000,3.300000,3.348000,1.921995,9132000
