Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,6.547511,6.747435,6.427557,6.727443,3.966374,3071866
2013-01-03,6.687458,6.987344,6.597492,6.977348,4.113713,3234228
2013-01-04,6.947360,7.347208,6.857394,7.057318,4.160862,9874150
2013-01-07,7.097303,7.217257,6.877386,6.987344,4.119606,4051739
2013-01-08,6.897378,6.937363,6.397568,6.397568,3.771885,3794841
2013-01-09,6.497530,6.647473,6.447549,6.577500,3.877970,2949520
2013-01-10,6.657470,6.737439,6.547511,6.597492,3.889758,2836077
2013-01-11,6.597492,6.637477,6.447549,6.507527,3.836715,2403212
2013-01-14,6.597492,6.687458,6.507527,6.547511,3.860289,1719153
2013-01-15,6.597492,6.687458,6.467542,6.607489,3.895651,4105059
2013-01-16,6.597492,6.817409,6.597492,6.757432,3.984055,2466236
2013-01-17,6.827405,7.167276,6.777424,6.987344,4.119606,3320161
2013-01-18,7.107299,7.327215,7.047322,7.317219,4.314094,2738940
2013-01-21,7.347208,7.747056,7.247246,7.697075,4.538051,2965026
2013-01-22,7.747056,8.146904,7.717067,7.697075,4.538051,4119264
2013-01-23,8.316839,8.426797,7.677082,7.837021,4.620560,4770412
2013-01-24,7.707071,7.737059,7.197265,7.247246,4.272839,4414676
2013-01-28,7.247246,7.397189,6.977348,6.997341,4.125501,2875992
2013-01-29,7.027329,7.177272,6.987344,7.047322,4.154968,1467057
2013-01-30,7.147284,7.237249,6.907375,6.997341,4.125501,2034172
2013-01-31,7.017333,7.187268,6.827405,7.117295,4.196222,2258958
2013-02-01,7.137287,7.267238,7.047322,7.117295,4.196222,1726955
2013-02-04,7.087306,7.137287,6.947360,6.977348,4.113713,1194253
2013-02-05,7.037325,7.087306,6.937363,7.037325,4.149074,1078309
2013-02-06,6.967352,7.077310,6.757432,6.977348,4.113713,1609711
2013-02-07,6.997341,7.047322,6.757432,6.797416,4.007628,1272383
2013-02-08,6.817409,6.987344,6.717447,6.847397,4.037097,1214761
2013-02-13,6.847397,7.027329,6.717447,6.967352,4.107819,1862507
2013-02-14,6.897378,7.007337,6.827405,6.877386,4.054777,906344
2013-02-15,6.917371,7.007337,6.757432,6.797416,4.007628,1007182
2013-02-18,6.807413,6.827405,6.627481,6.637477,3.913331,766891
2013-02-19,6.667466,6.767428,6.557508,6.627481,3.907438,2226045
2013-02-20,6.587496,6.667466,6.357584,6.357584,3.748312,1336707
2013-02-21,6.347587,6.437553,6.147663,6.217637,3.665802,2474339
2013-02-22,6.307603,6.327595,6.107679,6.127671,3.612759,2070886
2013-02-25,6.187648,6.357584,6.127671,6.277614,3.701163,1474059
2013-02-26,6.347587,6.667466,6.277614,6.537515,3.854396,2100697
2013-02-27,6.597492,6.917371,6.557508,6.857394,4.042990,2078389
2013-02-28,6.857394,7.067314,6.847397,6.947360,4.096033,2600787
2013-03-01,6.877386,6.907375,6.677462,6.847397,4.037097,2191932
2013-03-04,6.737439,6.967352,6.617485,6.727443,3.966374,1559292
2013-03-05,6.767428,6.887382,6.547511,6.557508,3.866183,1328204
2013-03-06,6.697454,7.097303,6.667466,6.937363,4.090138,2453632
2013-03-07,7.087306,7.527139,7.047322,7.437173,4.384817,2789859
2013-03-08,7.557128,7.567124,7.207261,7.297227,4.302307,1502670
2013-03-11,7.197265,7.317219,7.167276,7.287230,4.296413,1309597
2013-03-12,7.287230,7.497151,7.257242,7.347208,4.331775,1751065
2013-03-13,7.357204,7.467162,7.147284,7.247246,4.272839,1771572
2013-03-14,7.297227,7.347208,6.867390,6.867390,4.048884,2066585
2013-03-15,6.897378,6.977348,6.727443,6.757432,3.984055,2457333
2013-03-18,6.787420,6.807413,6.647473,6.797416,4.007628,1021688
2013-03-19,6.787420,6.907375,6.647473,6.767428,3.989948,1441147
2013-03-20,6.797416,6.797416,6.427557,6.517523,3.842609,2560772
2013-03-21,6.547511,6.567504,6.297606,6.327595,3.730630,2022468
2013-03-22,6.357584,6.537515,6.327595,6.377576,3.760099,1403733
2013-03-25,6.397568,6.487534,6.347587,6.397568,3.771885,757587
2013-03-26,6.407565,6.627481,6.307603,6.337591,3.736525,2041375
2013-03-27,6.347587,6.437553,6.187648,6.247625,3.683482,1985054
2013-03-28,6.417561,7.057318,6.417561,6.987344,4.119606,6414036
2013-04-01,6.967352,7.127291,6.857394,6.927367,4.084245,2119204
2013-04-02,6.967352,7.127291,6.677462,6.687458,3.942799,1941837
2013-04-03,6.677462,6.787420,6.487534,6.607489,3.895651,2248053
2013-04-04,6.687458,6.687458,6.357584,6.447549,3.801353,2286368
2013-04-05,6.497530,6.597492,6.377576,6.467542,3.813141,2489945
2013-04-08,6.467542,6.517523,6.217637,6.297606,3.712950,1886616
2013-04-09,6.347587,6.397568,6.247625,6.287610,3.707056,1446749
2013-04-10,6.357584,6.447549,6.247625,6.247625,3.683482,2276464
2013-04-11,6.297606,6.307603,6.067694,6.197644,3.654014,2210239
2013-04-12,6.247625,6.297606,6.007717,6.077690,3.583291,1900822
2013-04-15,6.027709,6.037705,5.567884,5.607869,3.306294,3052759
2013-04-16,5.757812,5.837781,5.597872,5.627861,3.318081,2413416
2013-04-17,5.497910,5.627861,5.287990,5.347967,3.153061,4131069
2013-04-18,5.397948,5.397948,5.098062,5.218017,3.076444,2980632
2013-04-19,5.277994,5.317979,5.208020,5.317979,3.135380,1391328
2013-04-22,5.347967,5.517903,5.208020,5.427937,3.200209,1829594
2013-04-23,5.487914,5.557888,5.427937,5.527899,3.259145,2230947
2013-04-24,5.427937,5.577880,5.407944,5.477918,3.229677,2027270
2013-04-25,5.517903,5.617865,5.377956,5.387952,3.176635,2149416
2013-04-26,5.387952,5.387952,5.387952,5.387952,3.176635,0
2013-04-29,5.347967,5.387952,5.198024,5.238009,3.088231,2603989
2013-04-30,5.258001,5.447929,5.248005,5.437933,3.206103,5425460
2013-05-02,5.208020,5.267998,5.038085,5.128051,3.262843,4444888
2013-05-03,5.208020,5.238009,5.018093,5.038085,3.205601,4847141
2013-05-06,5.068074,5.078070,4.798176,4.898138,3.116556,6517975
2013-05-07,4.848157,4.978108,4.848157,4.938123,3.141998,1396830
2013-05-08,5.018093,5.048081,4.848157,4.898138,3.116556,2096796
2013-05-09,4.958115,4.988104,4.818169,4.858153,3.091115,1753466
2013-05-10,4.868150,4.878146,4.798176,4.838161,3.078394,3095375
2013-05-13,4.808172,4.848157,4.728203,4.728203,3.008431,1766771
2013-05-14,4.758191,4.778184,4.598252,4.648233,2.957548,3313358
2013-05-15,4.598252,4.738199,4.598252,4.708210,2.995710,1498069
2013-05-16,4.668226,5.198024,4.658229,5.178032,3.294645,6291890
2013-05-17,5.198024,5.547891,5.058077,5.098062,3.243762,5212079
2013-05-20,5.198024,5.547891,4.878146,5.248005,3.339167,4018226
2013-05-21,5.198024,5.587876,5.188028,5.557888,3.536338,2959424
2013-05-22,5.577880,6.127671,5.567884,5.967732,3.797111,4922269
2013-05-23,5.847777,6.247625,5.707831,6.057698,3.854354,3980211
2013-05-24,6.017713,6.217637,5.997720,6.177652,3.930677,3380183
2013-05-27,6.197644,6.197644,6.077690,6.117675,3.892515,689361
2013-05-28,6.167656,6.297606,6.167656,6.297606,4.007000,2223244
2013-05-29,6.237629,6.277614,5.947739,5.957736,3.790750,2889397
2013-05-31,5.947739,5.947739,5.497910,5.657850,3.599941,3336267
