Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,7.825000,7.950000,7.785000,7.905000,4.532649,725000
2013-01-03,7.780000,7.830000,7.645000,7.660000,4.463883,761600
2013-01-04,7.640000,7.730000,7.520000,7.690000,4.481367,1013600
2013-01-07,7.305000,7.420000,7.185000,7.405000,4.315282,946400
2013-01-08,7.240000,7.240000,7.115000,7.145000,4.163767,666400
2013-01-09,7.270000,7.385000,7.245000,7.315000,4.262834,434000
2013-01-10,7.385000,7.545000,7.300000,7.500000,4.370645,620400
2013-01-11,7.380000,7.615000,7.380000,7.555000,4.402695,724200
2013-01-14,7.590000,7.650000,7.555000,7.605000,4.431833,833400
2013-01-15,7.595000,7.720000,7.580000,7.720000,4.498849,547400
2013-01-16,7.710000,7.785000,7.705000,7.765000,4.525073,569000
2013-01-17,7.780000,7.840000,7.750000,7.795000,4.542556,564400
2013-01-18,7.775000,7.885000,7.770000,7.865000,4.583349,274000
2013-01-22,7.870000,7.950000,7.845000,7.920000,4.615399,1183000
2013-01-23,8.010000,8.045000,7.965000,8.020000,4.673675,892200
2013-01-24,8.035000,8.205000,7.975000,8.160000,4.755260,724800
2013-01-25,8.150000,8.235000,8.115000,8.215000,4.787312,326600
2013-01-28,8.105000,8.130000,8.025000,8.125000,4.734864,951400
2013-01-29,8.090000,8.215000,8.030000,8.185000,4.769829,655000
2013-01-30,8.070000,8.110000,8.040000,8.110000,4.726123,515600
2013-01-31,8.030000,8.220000,7.990000,8.080000,4.708639,1009800
2013-02-01,8.280000,8.425000,8.230000,8.385000,4.886379,825800
2013-02-04,8.245000,8.290000,8.155000,8.170000,4.761088,601400
2013-02-05,8.180000,8.205000,8.120000,8.140000,4.743605,559800
2013-02-06,8.005000,8.085000,7.980000,8.075000,4.705727,312200
2013-02-07,8.050000,8.090000,7.960000,8.025000,4.676588,351000
2013-02-08,7.890000,7.940000,7.790000,7.865000,4.583349,598600
2013-02-11,7.860000,7.935000,7.845000,7.885000,4.595003,212400
2013-02-12,7.875000,7.935000,7.820000,7.900000,4.603745,276800
2013-02-13,7.920000,7.990000,7.875000,7.960000,4.638709,478000
2013-02-14,7.910000,7.945000,7.875000,7.945000,4.629969,414000
2013-02-15,7.875000,7.960000,7.800000,7.815000,4.554211,493600
2013-02-19,7.810000,7.885000,7.715000,7.780000,4.533814,533400
2013-02-20,7.745000,7.845000,7.545000,7.630000,4.446402,616400
2013-02-21,7.485000,7.525000,7.390000,7.455000,4.344419,603000
2013-02-22,7.485000,7.515000,7.435000,7.465000,4.350247,309200
2013-02-25,7.495000,7.630000,7.465000,7.515000,4.379385,537600
2013-02-26,7.565000,7.690000,7.540000,7.610000,4.434746,415600
2013-02-27,7.595000,7.640000,7.495000,7.600000,4.428918,536200
2013-02-28,7.470000,7.605000,7.400000,7.460000,4.347333,762200
2013-03-01,7.330000,7.500000,7.280000,7.485000,4.361902,484600
2013-03-04,7.465000,7.505000,7.300000,7.505000,4.373558,534000
2013-03-05,7.590000,7.660000,7.455000,7.500000,4.370645,531200
2013-03-06,7.465000,7.650000,7.430000,7.610000,4.434746,626200
2013-03-07,7.825000,7.935000,7.725000,7.900000,4.603745,773800
2013-03-08,7.980000,7.980000,7.800000,7.905000,4.606658,444000
2013-03-11,7.870000,7.880000,7.780000,7.820000,4.557125,337800
2013-03-12,7.835000,7.950000,7.830000,7.840000,4.568780,283400
2013-03-13,7.805000,7.820000,7.670000,7.700000,4.487193,313200
2013-03-14,7.690000,7.840000,7.690000,7.755000,4.519245,307200
2013-03-15,7.690000,7.725000,7.555000,7.655000,4.460970,678800
2013-03-18,7.410000,7.685000,7.405000,7.615000,4.437660,438600
2013-03-19,7.570000,7.695000,7.475000,7.490000,4.364817,312400
2013-03-20,7.255000,7.300000,7.160000,7.180000,4.184163,608400
2013-03-21,7.150000,7.180000,7.035000,7.075000,4.122974,557400
2013-03-22,7.090000,7.250000,7.070000,7.115000,4.146284,582200
2013-03-25,7.050000,7.135000,7.010000,7.025000,4.093836,379800
2013-03-26,6.960000,7.485000,6.945000,7.345000,4.280317,1173600
2013-03-27,7.415000,7.710000,7.340000,7.555000,4.402695,1138400
2013-03-28,7.565000,7.775000,7.550000,7.735000,4.507589,659800
2013-04-01,7.740000,7.905000,7.740000,7.815000,4.554211,590400
2013-04-02,7.840000,7.935000,7.755000,7.820000,4.557125,920600
2013-04-03,7.760000,7.965000,7.720000,7.840000,4.568780,686200
2013-04-04,7.855000,7.935000,7.815000,7.875000,4.589175,813600
2013-04-05,7.980000,8.575000,7.980000,8.515000,4.962137,1576800
2013-04-08,8.540000,8.540000,8.315000,8.490000,4.947568,1068800
2013-04-09,8.490000,8.595000,8.460000,8.495000,4.950481,686400
2013-04-10,8.530000,8.740000,8.515000,8.640000,5.034981,679600
2013-04-11,8.610000,8.690000,8.540000,8.640000,5.034981,493200
2013-04-12,8.625000,8.805000,8.545000,8.705000,5.072859,748000
2013-04-15,8.530000,8.610000,8.415000,8.425000,4.909690,566400
2013-04-16,8.450000,8.580000,8.405000,8.485000,4.944654,530800
2013-04-17,8.455000,8.550000,8.390000,8.390000,4.889293,1178000
2013-04-18,8.475000,8.590000,8.425000,8.555000,4.985447,637800
2013-04-19,8.735000,8.835000,8.685000,8.760000,5.104912,787600
2013-04-22,8.780000,8.780000,8.455000,8.515000,4.962137,664000
2013-04-23,8.655000,8.885000,8.635000,8.875000,5.171928,962600
2013-04-24,8.875000,8.965000,8.760000,8.905000,5.189410,882800
2013-04-25,8.830000,8.975000,8.795000,8.925000,5.201066,931200
2013-04-26,8.790000,8.810000,8.565000,8.605000,5.086971,432400
2013-04-29,8.645000,8.805000,8.615000,8.780000,5.190425,372800
2013-04-30,8.740000,8.960000,8.675000,8.920000,5.273188,692600
2013-05-01,8.920000,8.925000,8.800000,8.840000,5.225895,367600
2013-05-02,9.125000,9.220000,8.900000,8.920000,5.273188,681200
2013-05-03,8.935000,9.060000,8.835000,8.875000,5.246586,315400
2013-05-06,8.780000,8.875000,8.630000,8.715000,5.151999,853200
2013-05-07,8.825000,8.975000,8.805000,8.905000,5.264319,634200
2013-05-08,8.970000,9.045000,8.830000,8.940000,5.285011,736600
2013-05-09,8.955000,9.030000,8.860000,8.890000,5.255454,504200
2013-05-10,8.870000,8.890000,8.710000,8.835000,5.222939,317000
2013-05-13,8.820000,8.905000,8.715000,8.775000,5.187469,803200
2013-05-14,8.750000,8.880000,8.710000,8.725000,5.157911,772600
2013-05-15,8.770000,8.875000,8.720000,8.860000,5.237718,607400
2013-05-16,9.000000,9.030000,8.820000,8.895000,5.258410,467400
2013-05-17,8.955000,8.980000,8.780000,8.860000,5.237718,572400
2013-05-20,8.875000,9.000000,8.800000,8.970000,5.302746,388400
2013-05-21,8.955000,9.050000,8.880000,8.950000,5.290923,542600
2013-05-22,8.975000,9.200000,8.925000,8.935000,5.282055,634200
2013-05-23,8.865000,9.040000,8.795000,9.025000,5.335259,734200
2013-05-24,8.975000,8.980000,8.770000,8.870000,5.243630,580800
2013-05-28,8.885000,8.910000,8.685000,8.825000,5.217028,554800
2013-05-29,8.750000,8.790000,8.385000,8.385000,4.956914,505600
2013-05-30,8.445000,8.545000,8.325000,8.340000,4.930313,368200
2013-05-31,8.230000,8.280000,7.740000,7.785000,4.602217,1538400
2013-06-03,7.725000,8.230000,7.655000,8.200000,4.847549,913000
2013-06-04,8.190000,8.195000,7.825000,7.915000,4.679068,538200
2013-06-05,7.960000,8.090000,7.840000,7.915000,4.679068,533800
2013-06-06,7.795000,7.890000,7.675000,7.795000,4.608128,798000
2013-06-07,7.715000,7.855000,7.660000,7.815000,4.619951,447400
2013-06-10,7.855000,7.950000,7.815000,7.905000,4.673156,943200
2013-06-11,7.730000,7.875000,7.600000,7.835000,4.631774,598200
2013-06-12,7.850000,7.850000,7.490000,7.585000,4.483983,458000
2013-06-13,7.755000,8.040000,7.740000,8.015000,4.738184,721000
2013-06-14,8.015000,8.110000,7.840000,7.840000,4.634731,665600
2013-06-17,7.820000,7.965000,7.720000,7.825000,4.625862,593800
2013-06-18,7.850000,7.900000,7.725000,7.770000,4.593349,363000
2013-06-19,7.790000,7.800000,7.505000,7.510000,4.439645,502000
2013-06-20,7.155000,7.155000,6.860000,6.965000,4.117462,1544800
2013-06-21,6.140000,6.280000,5.865000,5.885000,3.479003,2748200
2013-06-24,5.635000,6.110000,5.500000,6.065000,3.585413,3573400
2013-06-25,6.175000,6.270000,6.015000,6.265000,3.703646,2245000
2013-06-26,6.315000,6.400000,6.305000,6.325000,3.739116,1596400
2013-06-27,6.320000,6.520000,6.170000,6.220000,3.677044,2390400
2013-06-28,6.090000,6.310000,6.045000,6.210000,3.671133,1401800
2013-07-01,6.260000,6.355000,6.115000,6.190000,3.659309,679600
2013-07-02,6.250000,6.295000,5.985000,6.095000,3.603148,956000
2013-07-03,6.190000,6.190000,6.055000,6.125000,3.620883,631600
2013-07-05,6.140000,6.140000,5.850000,6.000000,3.546987,1449400
2013-07-08,6.125000,6.310000,6.050000,6.145000,3.632707,983000
2013-07-09,6.185000,6.625000,6.150000,6.585000,3.892819,1496200
2013-07-10,6.490000,6.615000,6.475000,6.510000,3.848482,1859400
2013-07-11,6.585000,6.605000,6.420000,6.595000,3.898730,655200
2013-07-12,6.450000,6.485000,6.305000,6.360000,3.759806,564600
2013-07-15,6.330000,6.445000,6.240000,6.395000,3.780498,1112600
2013-07-16,6.380000,6.385000,6.225000,6.310000,3.730249,1421600
2013-07-17,6.360000,6.430000,6.255000,6.360000,3.759806,730400
2013-07-18,6.305000,6.555000,6.300000,6.530000,3.860305,669800
2013-07-19,6.450000,6.450000,6.320000,6.380000,3.771631,758800
2013-07-22,6.430000,6.550000,6.410000,6.495000,3.839614,859800
2013-07-23,6.580000,6.630000,6.520000,6.610000,3.907598,600600
2013-07-24,6.630000,6.635000,6.415000,6.455000,3.815967,907200
2013-07-25,6.395000,6.540000,6.355000,6.530000,3.860305,585800
2013-07-26,6.415000,6.425000,6.315000,6.375000,3.768674,400400
2013-07-29,6.320000,6.375000,6.205000,6.300000,3.724336,533800
2013-07-30,6.295000,6.315000,6.150000,6.190000,3.659309,434400
2013-07-31,6.130000,6.320000,6.050000,6.230000,3.682955,994800
2013-08-01,6.295000,6.310000,6.095000,6.180000,3.653397,635600
2013-08-02,6.170000,6.315000,6.170000,6.210000,3.671133,792000
2013-08-05,6.175000,6.195000,6.055000,6.110000,3.612016,477000
2013-08-06,6.105000,6.280000,6.020000,6.185000,3.656353,733600
2013-08-07,6.185000,6.505000,6.175000,6.310000,3.730249,1188800
2013-08-08,6.420000,6.565000,6.290000,6.515000,3.851437,976000
2013-08-09,6.635000,6.810000,6.610000,6.695000,3.957847,1102800
2013-08-12,6.815000,6.985000,6.670000,6.690000,3.954891,1214800
2013-08-13,6.715000,6.755000,6.535000,6.665000,3.940111,2864800
2013-08-14,6.685000,6.695000,6.545000,6.660000,3.937156,678200
2013-08-15,6.645000,6.655000,6.435000,6.570000,3.883951,3059800
2013-08-16,6.535000,6.535000,6.270000,6.340000,3.747983,872400
2013-08-19,6.315000,6.355000,6.200000,6.210000,3.671133,1212200
2013-08-20,6.225000,6.315000,6.180000,6.195000,3.662264,620000
2013-08-21,6.100000,6.135000,5.995000,6.030000,3.564723,991800
2013-08-22,6.070000,6.180000,6.010000,6.075000,3.591324,921600
2013-08-23,6.210000,6.265000,6.130000,6.260000,3.700691,1067800
2013-08-26,6.225000,6.265000,6.095000,6.140000,3.629750,657200
2013-08-27,6.060000,6.180000,5.900000,5.960000,3.523341,1408800
2013-08-28,6.040000,6.290000,6.015000,6.140000,3.629750,871400
2013-08-29,6.170000,6.215000,5.975000,5.985000,3.538120,2073000
2013-08-30,6.080000,6.100000,5.880000,5.920000,3.499694,1033200
2013-09-03,6.090000,6.220000,6.065000,6.185000,3.656353,1420000
2013-09-04,6.145000,6.320000,6.140000,6.245000,3.691823,1190400
2013-09-05,6.325000,6.560000,6.300000,6.515000,3.851437,1058400
2013-09-06,6.620000,6.760000,6.600000,6.615000,3.910553,1009600
2013-09-09,6.660000,6.840000,6.660000,6.800000,4.019919,862600
2013-09-10,6.830000,6.865000,6.750000,6.815000,4.028787,883200
2013-09-11,6.785000,6.810000,6.725000,6.795000,4.016964,1040000
2013-09-12,6.780000,6.790000,6.645000,6.655000,3.934200,1125400
2013-09-13,6.660000,6.700000,6.590000,6.645000,3.928288,1311000
2013-09-16,6.745000,6.795000,6.710000,6.765000,3.999228,838000
2013-09-17,6.795000,6.935000,6.795000,6.890000,4.073123,849400
2013-09-18,6.875000,7.065000,6.805000,7.045000,4.164754,1128600
2013-09-19,7.065000,7.065000,6.830000,6.890000,4.073123,1157400
2013-09-20,6.890000,6.930000,6.625000,6.630000,3.919421,1157800
2013-09-23,6.655000,6.935000,6.655000,6.925000,4.093815,815000
2013-09-24,6.875000,7.020000,6.825000,7.010000,4.144064,993400
2013-09-25,6.910000,6.955000,6.865000,6.890000,4.073123,1355000
2013-09-26,6.905000,6.945000,6.845000,6.925000,4.093815,952200
2013-09-27,6.885000,6.975000,6.870000,6.955000,4.111549,998200
2013-09-30,6.980000,7.030000,6.910000,6.980000,4.126329,1688400
2013-10-01,7.080000,7.155000,6.995000,7.045000,4.164754,961200
2013-10-02,7.040000,7.085000,6.980000,7.075000,4.182489,903000
2013-10-03,6.995000,7.015000,6.920000,7.000000,4.138152,709800
2013-10-04,7.005000,7.045000,6.980000,7.035000,4.158843,1130800
2013-10-07,6.975000,7.030000,6.955000,7.020000,4.149976,750800
