Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,155.989502,158.635742,153.203964,157.660812,157.660812,38771
2013-01-03,158.078644,159.889236,151.114822,156.407333,156.407333,49893
2013-01-04,155.989502,159.471405,152.646866,158.914307,158.914307,95414
2013-01-07,158.775024,160.167786,153.621796,153.900360,153.900360,95378
2013-01-08,155.571671,155.710938,139.972717,141.922592,141.922592,196982
2013-01-09,143.036804,146.240158,141.504761,145.683044,145.683044,172161
2013-01-10,147.493637,147.632919,141.226212,141.365479,141.365479,69164
2013-01-11,142.340424,142.897522,139.415619,141.086929,141.086929,142680
2013-01-14,140.947647,144.847397,140.529831,144.708115,144.708115,79001
2013-01-15,140.947647,146.100876,140.529831,145.822327,145.822327,82655
2013-01-16,144.847397,147.354370,144.151016,147.354370,147.354370,44422
2013-01-17,147.075806,151.532654,145.543777,151.114822,151.114822,56018
2013-01-18,151.114822,152.507584,148.190018,148.886398,148.886398,106464
2013-01-21,147.772202,153.064697,146.936539,151.114822,151.114822,48486
2013-01-22,148.747131,158.635742,147.632919,157.521545,157.521545,294687
2013-01-23,148.747131,162.396210,147.632919,158.775024,158.775024,247823
2013-01-24,158.775024,161.560547,157.382263,158.775024,158.775024,33315
2013-01-28,159.610687,159.749954,155.293121,155.989502,155.989502,44135
2013-01-29,155.850220,155.989502,153.761078,154.736008,154.736008,72244
2013-01-30,154.875290,154.875290,136.490814,139.137054,139.137054,469677
2013-01-31,140.669098,146.240158,129.526993,137.465744,137.465744,321174
2013-02-01,141.365479,143.733185,138.301407,139.972717,139.972717,125635
2013-02-04,139.554886,144.847397,138.440674,144.708115,144.708115,72051
2013-02-05,144.847397,146.936539,138.162125,139.276337,139.276337,192976
2013-02-06,139.554886,140.529831,135.655151,137.605026,137.605026,147433
2013-02-07,137.465744,143.454636,137.187195,143.315353,143.315353,216339
2013-02-08,142.618973,149.582794,139.276337,140.808380,140.808380,98645
2013-02-13,141.226212,145.822327,141.226212,141.783310,141.783310,54122
2013-02-14,141.922592,145.543777,139.554886,145.543777,145.543777,88385
2013-02-15,145.265213,146.100876,142.061859,144.708115,144.708115,51071
2013-02-18,145.543777,145.683044,138.858505,142.340424,142.340424,151806
2013-02-19,137.883575,148.886398,135.655151,148.607849,148.607849,254695
2013-02-20,148.886398,148.886398,137.047913,139.137054,139.137054,410464
2013-02-21,139.137054,141.365479,134.401672,140.529831,140.529831,452431
2013-02-22,142.061859,143.454636,137.883575,139.972717,139.972717,338155
2013-02-25,140.112000,142.758240,139.415619,140.669098,140.669098,57999
2013-02-26,139.972717,149.025681,139.972717,147.632919,147.632919,211263
2013-02-27,148.329300,148.886398,140.669098,143.454636,143.454636,255025
2013-02-28,142.897522,147.493637,141.365479,146.379425,146.379425,77199
2013-03-01,145.683044,149.443512,144.847397,149.443512,149.443512,96786
2013-03-04,147.772202,150.696991,146.797256,149.304230,149.304230,61094
2013-03-05,149.164963,152.507584,148.886398,150.696991,150.696991,188014
2013-03-06,148.468582,156.964432,148.468582,153.900360,153.900360,185889
2013-03-07,157.382263,158.217926,153.900360,156.268051,156.268051,197111
2013-03-08,156.407333,161.699829,155.571671,159.749954,159.749954,117141
2013-03-11,157.382263,159.332123,153.761078,153.900360,153.900360,117902
2013-03-12,154.457458,154.875290,150.279175,153.203964,153.203964,84931
2013-03-13,153.064697,155.293121,150.836273,153.203964,153.203964,109063
2013-03-14,153.203964,153.900360,149.722061,151.114822,151.114822,58251
2013-03-15,151.393372,159.471405,148.468582,148.468582,148.468582,220446
2013-03-18,149.443512,153.064697,146.240158,148.886398,148.886398,101689
2013-03-19,149.443512,153.064697,142.340424,143.733185,143.733185,105473
2013-03-20,144.151016,147.493637,143.454636,146.936539,146.936539,56355
2013-03-21,146.100876,149.025681,142.061859,143.454636,143.454636,32475
2013-03-22,141.504761,147.354370,133.983841,135.515869,135.515869,100361
2013-03-25,135.933701,137.744293,128.552063,132.173248,132.173248,124464
2013-03-26,134.123108,136.351532,131.476868,132.312515,132.312515,60440
2013-03-27,132.730347,139.276337,132.451797,134.958771,134.958771,64540
2013-03-28,134.958771,134.958771,134.958771,134.958771,134.958771,0
2013-04-01,134.401672,134.958771,130.084106,132.451797,132.451797,42957
2013-04-02,134.401672,134.958771,126.880745,128.412781,128.412781,124680
2013-04-03,129.109161,134.123108,128.412781,132.591080,132.591080,94359
2013-04-04,130.641205,133.287460,129.526993,130.362656,130.362656,27046
2013-04-05,130.084106,133.148178,126.741470,130.223373,130.223373,166948
2013-04-08,132.173248,132.173248,126.880745,130.919754,130.919754,71426
2013-04-09,132.033966,132.869629,128.691330,130.641205,130.641205,121140
2013-04-10,132.312515,132.312515,129.248444,130.501923,130.501923,208872
2013-04-11,129.805542,130.641205,127.716400,129.387711,129.387711,90568
2013-04-12,129.109161,129.944824,127.159294,128.691330,128.691330,33501
2013-04-15,128.273514,130.223373,125.070152,126.323639,126.323639,50934
2013-04-16,125.766533,131.616135,125.766533,130.919754,130.919754,97058
2013-04-17,130.919754,130.919754,123.120285,130.223373,130.223373,88083
2013-04-18,130.223373,131.755417,128.552063,128.552063,128.552063,27125
2013-04-19,128.552063,130.501923,126.880745,128.552063,128.552063,50195
2013-04-22,128.552063,129.248444,126.462914,127.437851,127.437851,36553
2013-04-23,127.577126,127.577126,124.652321,126.045082,126.045082,35684
2013-04-24,126.323639,129.248444,123.955940,126.184364,126.184364,40200
2013-04-25,127.298569,127.298569,121.170418,121.448967,121.448967,51860
2013-04-26,121.448967,121.448967,121.448967,121.448967,121.448967,0
2013-04-29,117.688507,117.827782,113.370941,115.599358,115.599358,140871
2013-04-30,115.738632,122.145348,115.738632,120.195480,120.195480,104188
2013-05-02,120.613312,122.284622,117.549232,120.891861,120.891861,89519
2013-05-03,124.791595,124.791595,119.359818,123.120285,123.120285,102809
2013-05-06,123.120285,126.462914,120.056206,124.234489,124.234489,77536
2013-05-07,123.120285,123.538109,120.056206,121.031136,121.031136,99356
2013-05-08,121.031136,123.120285,119.916924,120.334755,120.334755,44601
2013-05-09,120.752586,125.348701,120.056206,123.955940,123.955940,69085
2013-05-10,123.955940,123.955940,117.688507,118.802719,118.802719,94402
2013-05-13,119.220543,119.777649,117.688507,118.245613,118.245613,38412
2013-05-14,117.688507,119.081268,115.599358,116.992126,116.992126,55364
2013-05-15,117.549232,121.031136,116.017189,119.359818,119.359818,31161
2013-05-16,120.056206,130.084106,120.056206,128.134232,128.134232,125951
2013-05-17,128.134232,129.805542,127.994957,129.805542,129.805542,68137
2013-05-20,128.134232,129.805542,126.045082,129.387711,129.387711,70851
2013-05-21,129.805542,134.262390,128.273514,133.705276,133.705276,81054
2013-05-22,132.312515,134.680222,130.362656,132.033966,132.033966,117220
2013-05-23,132.173248,135.098053,129.805542,134.540939,134.540939,144898
2013-05-24,133.983841,134.123108,131.616135,132.312515,132.312515,58918
2013-05-27,132.312515,134.262390,131.059036,132.312515,132.312515,13347
2013-05-28,132.730347,134.123108,127.994957,127.994957,127.994957,124579
2013-05-29,128.134232,131.616135,125.348701,129.248444,129.248444,128650
2013-05-31,127.437851,133.705276,126.741470,132.312515,132.312515,195381
2013-06-03,131.894699,134.262390,129.526993,130.223373,130.223373,47775
2013-06-04,131.616135,132.730347,128.691330,130.501923,130.501923,36029
2013-06-05,131.337585,131.337585,127.437851,129.387711,129.387711,54539
2013-06-06,130.641205,130.780487,127.716400,128.691330,128.691330,43740
2013-06-07,129.248444,131.337585,128.134232,129.805542,129.805542,26005
2013-06-10,128.552063,130.362656,124.791595,125.348701,125.348701,144669
2013-06-11,125.627258,125.766533,122.145348,122.841728,122.841728,50755
